date,E_SPP,E_WPP,E_HPP,E_BCP,E_CPSS,unmet,cost,emissions,objective,status
2019-01,303.019,493.352,192.8385,337.378,1677.0525,0.0,292.9708235,893.8854650000001,354.5595871,Optimal
2019-02,219.104,523.746,190.8975,383.671,1448.5615,0.0,261.5905985,799.331135,316.82058609999996,Optimal
2019-03,330.826,470.927,222.168,323.52,1404.389,0.0,254.11530899999997,776.68228,307.80564139999996,Optimal
2019-04,615.695,412.908,215.904,332.919,877.864,0.0,182.49054999999998,545.17708,218.529746,Optimal
2019-05,635.104,357.437,95.533,388.533,769.713,0.0,162.90715999999998,474.8738,192.71905599999997,Optimal
2019-06,748.75,339.692,164.267,271.377,504.724,0.0,122.836603,351.19542,143.94104579999998,Optimal
2019-07,764.831,283.038,169.744,291.046,521.271,0.0,125.58522799999999,364.25739,148.2026148,Optimal
2019-08,537.266,339.289,61.3,321.973,960.162,0.0,182.155543,534.20917,216.1351598,Optimal
2019-09,282.947,519.729,53.137,377.392,1151.755,0.0,212.24335200000002,627.0505800000001,252.7561272,Optimal
2019-10,230.765,533.821,170.6565,287.653,1506.0445,0.0,263.5228345,798.741015,317.86190369999997,Optimal
2019-11,338.873,521.939,175.1785,344.346,1590.3035,0.0,281.39514249999996,852.439525,339.3249905,Optimal
2019-12,332.529,555.44,150.306,353.758,1742.327,0.0,303.457114,916.16457,365.3071824,Optimal
2020-01,288.121,546.938,156.8975,449.945,1862.7385,0.0,325.9733265,992.383325,394.06066089999996,Optimal
2020-02,354.343,582.155,206.5555,349.819,1691.4775,0.0,299.9213155,908.869005,361.72659029999994,Optimal
2020-03,313.172,469.497,152.741,320.413,1793.857,0.0,306.380524,931.4524,370.11879439999996,Optimal
2020-04,503.375,420.227,118.524,336.26,1378.824,0.0,248.101365,741.90449,297.241717,Optimal
2020-05,779.859,277.513,131.7295,333.4,1031.4885,0.0,200.34554349999996,592.774395,238.76220509999996,Optimal
2020-06,770.161,295.128,147.3335,304.618,832.8995,0.0,170.8601765,501.428615,202.80182889999998,Optimal
2020-07,811.67,351.431,152.01,326.38,767.889,0.0,165.339881,479.66416000000004,195.1367606,Optimal
2020-08,553.88,350.04,202.4965,319.789,945.0845,0.0,187.80671949999999,566.918625,226.0677567,Optimal
2020-09,272.469,491.571,150.7455,318.047,1464.1075,0.0,258.0379155,781.392545,311.1012583,Optimal
2020-10,241.516,500.788,146.0855,309.727,1715.4435,0.0,293.3214245,890.8316550000001,354.15918569999997,Optimal
2020-11,360.284,586.003,128.545,316.24,1879.198,0.0,321.26073199999996,964.2702100000001,385.6104812,Optimal
2020-12,274.354,608.207,204.553,374.025,1991.921,0.0,343.855642,1047.49394,415.8121732,Optimal
2021-01,257.272,527.542,161.8205,378.12,2284.4855,0.0,381.84918749999997,1166.9354749999998,462.4966074999999,Optimal
2021-02,262.03,581.44,150.927,396.697,2110.766,0.0,358.72786099999996,1090.4326,433.3232366,Optimal
2021-03,317.215,426.545,157.613,352.38,1951.927,0.0,330.472156,1010.6321399999999,400.40972159999995,Optimal
2021-04,579.802,372.621,143.959,345.464,1629.134,0.0,286.64759,864.74315,344.937184,Optimal
2021-05,782.602,341.265,152.9845,339.458,1163.3705,0.0,222.65838649999998,660.097835,265.6145989,Optimal
2021-06,856.884,315.343,127.9735,300.9,1059.7895,0.0,204.8724815,599.2269650000001,242.7688819,Optimal
2021-07,890.489,354.226,137.772,269.492,1088.691,0.0,209.373496,609.12739,247.4495756,Optimal
2021-08,531.637,364.834,102.9775,285.482,1495.3095,0.0,260.2391705,778.810095,311.90552130000003,Optimal
2021-09,252.033,429.782,115.6015,277.357,1833.2865,0.0,305.2236225,927.704365,368.67504649999995,Optimal
2021-10,233.222,541.66,93.0095,382.735,1913.5535,0.0,324.6294085,981.424475,391.0625401,Optimal
2021-11,322.441,493.04,130.678,403.262,2152.549,0.0,363.10414399999996,1105.33375,438.9292364,Optimal
2021-12,354.447,533.418,208.2925,438.271,2100.5915,0.0,363.46376349999997,1112.430815,440.5644211,Optimal
2022-01,276.889,518.637,212.001,371.516,2380.687,0.0,398.1853739999999,1223.1271000000002,483.53664439999994,Optimal
2022-02,231.571,477.245,232.4815,378.497,2456.9355,0.0,408.7043635,1263.389005,497.90041909999997,Optimal
2022-03,232.546,487.567,132.6775,382.15,2434.3795,0.0,400.7556155,1226.220065,485.69738229999996,Optimal
2022-04,597.599,308.18,129.117,318.957,2057.677,0.0,345.09588499999995,1047.3117300000001,416.51987699999995,Optimal
2022-05,803.233,280.971,111.276,307.439,1509.601,0.0,267.605415,796.98868,319.96098500000005,Optimal
2022-06,863.891,375.208,160.936,238.045,1372.17,0.0,249.75118600000002,735.93838,297.0383876,Optimal
2022-07,715.327,282.505,126.2265,356.514,1473.7475,0.0,264.3715165,794.094465,317.44180289999997,Optimal
2022-08,571.482,423.529,102.4115,293.308,1676.0895,0.0,289.2630395,863.108185,346.1794607,Optimal
2022-09,291.28,393.954,179.803,304.384,2177.549,0.0,360.02146899999997,1106.97151,437.40718339999995,Optimal
2022-10,297.65,532.833,152.8455,306.399,2111.4825,0.0,352.9075755,1071.652975,426.0751403,Optimal
2022-11,338.379,544.793,182.272,393.941,2305.145,0.0,389.02514699999995,1187.23394,470.8618762,Optimal
2022-12,297.949,611.197,190.951,392.94,2550.433,0.0,425.85962799999993,1299.6788800000002,515.4515528,Optimal
2023-01,326.367,670.477,194.248,376.014,2437.994,0.0,410.832989,1247.4419300000002,495.98817940000004,Optimal
2023-02,288.212,425.986,187.0025,377.6,2867.7695,0.0,465.71239549999996,1435.953075,566.6180522999999,Optimal
2023-03,302.044,489.998,167.4425,340.719,2621.8965,0.0,428.74873349999996,1312.636365,519.7765130999999,Optimal
2023-04,596.39,388.442,158.791,353.875,2228.302,0.0,375.570979,1140.8621,453.5150074,Optimal
2023-05,665.927,265.8,93.1865,344.047,2046.7795,0.0,343.5108595,1038.8098750000001,413.8684907,Optimal
2023-06,810.058,182.483,175.2705,206.754,1966.2445,0.0,328.58728849999994,997.397635,396.63190009999994,Optimal
2023-07,727.495,312.574,109.843,260.483,1903.715,0.0,321.0442929999999,962.40969,385.10851379999997,Optimal
2023-08,517.129,334.583,123.6135,305.788,2074.8465,0.0,345.4925795,1049.2544750000002,417.1464427,Optimal
2023-09,266.827,475.828,154.401,356.67,2310.334,0.0,382.7590469999999,1171.4448,463.94438819999993,Optimal
2023-10,377.288,548.784,167.728,333.608,2413.812,0.0,401.26611599999995,1219.6066,484.6809896,Optimal
2023-11,229.972,723.933,216.1055,315.057,2563.1325,0.0,425.7618455,1295.070475,514.4712023000001,Optimal
2023-12,344.424,618.191,181.9205,397.477,2757.1475,0.0,456.79822049999996,1392.169445,552.5128213,Optimal
