date,E_SPP,E_WPP,E_HPP,E_BCP,E_CPSS_expected,unmet_expected,objective,status
2019-01,303.019,493.352,68.701974,337.378,1801.1889999999996,0.0,365.7070425327999,Optimal
2019-02,219.104,523.746,132.97021,383.671,1506.4888000000005,0.0,322.02245851199996,Optimal
2019-03,330.826,470.927,126.74971,323.52,1499.8073000000004,0.0,316.37420561199986,Optimal
2019-04,615.695,412.908,105.07228,332.919,988.6957200000004,0.0,228.48243445600014,Optimal
2019-05,635.104,357.437,0.0,386.05225,867.7267499999999,0.0,201.53706369999992,Optimal
2019-06,748.75,339.692,73.967387,271.377,595.0236099999998,0.0,152.04995051639997,Optimal
2019-07,764.831,283.038,88.41606,291.046,602.5989400000002,0.0,155.505863812,Optimal
2019-08,537.266,339.289,0.0,285.21431,1058.2206999999999,0.0,225.18343928600015,Optimal
2019-09,282.947,519.729,0.0,364.5063,1217.7777,0.0,258.77001128000006,Optimal
2019-10,230.765,533.821,95.411657,287.653,1581.2892999999997,0.0,324.6188829903999,Optimal
2019-11,338.873,521.939,47.364744,344.346,1718.1172999999994,0.0,350.8026735768001,Optimal
2019-12,332.529,555.44,20.421468,353.758,1872.2114999999994,0.0,376.97080770959997,Optimal
2020-01,288.121,546.938,28.897785,449.945,1990.7382000000005,0.0,405.5550326520002,Optimal
2020-02,354.343,582.155,132.28541,349.819,1765.7476,0.0,368.3960461519998,Optimal
2020-03,313.172,469.497,7.010035,320.413,1939.5879999999993,0.0,383.2054412519999,Optimal
2020-04,503.375,420.227,34.814925,336.26,1462.5331000000003,0.0,304.7587963600002,Optimal
2020-05,779.859,277.513,43.985224,333.4,1119.2328,0.0,246.6416453328001,Optimal
2020-06,770.161,295.128,23.067292,304.618,957.1657099999998,0.0,213.96093473240003,Optimal
2020-07,811.67,351.431,36.994196,326.38,882.9048000000005,0.0,205.46517909120007,Optimal
2020-08,553.88,350.04,57.712477,319.789,1089.8685,0.0,239.0693578943999,Optimal
2020-09,272.469,491.571,19.467692,318.047,1595.3852999999995,0.0,322.89000404240005,Optimal
2020-10,241.516,500.788,45.939529,309.727,1815.5895000000007,0.0,363.15229902880014,Optimal
2020-11,360.284,586.003,49.718896,316.24,1958.024100000001,0.0,392.6890646311998,Optimal
2020-12,274.354,608.207,60.627087,374.025,2135.846900000001,0.0,428.73671788639984,Optimal
2021-01,257.272,527.542,32.830097,378.12,2413.4759,0.0,474.07994515840005,Optimal
2021-02,262.03,581.44,0.0,352.81034,2305.5796999999993,0.0,451.10716230399987,Optimal
2021-03,317.215,426.545,11.086281,352.38,2098.4537,0.0,413.5678176031999,Optimal
2021-04,579.802,372.621,44.911444,345.464,1728.1815999999992,0.0,353.83166231679985,Optimal
2021-05,782.602,341.265,67.014529,339.458,1249.3405000000002,0.0,273.33470742880013,Optimal
2021-06,856.884,315.343,3.9472998,300.9,1183.8157,0.0,253.90643464256007,Optimal
2021-07,890.489,354.226,55.394027,269.492,1171.069,0.0,254.84712235439991,Optimal
